db_id,jaar van uitgave,editie,display_title,nummer,uitgever,verkend,herzien,bewerkt,uitgave,bijgewerkt,opname_jaar,basis_jaar,basis,schaal,bewerker,reproductie,editie,waterstaatskaart,bijkaart_we,bijkaart_hw,exemplaren,urls
5,[1873],1,01 - AMELAND,1,Top. Bur.,"","",1873,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/01 Ameland.jpg
4,[1868],1,01 - TERSCHELLING,1,Min. v. Oorl. Top. Bur.,"","",1868,"","","","","",Schaal van 10000 Ellen,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/01 Terschelling.jpg
6,[1873],1,02 - SCHIERMONNIKOOG 1,2,Top. Bur.,"","",1873,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/02 Schiermonnikoog-1.jpg
7,[1873],1,02 - SCHIERMONNIKOOG 2,2,Top. Bur.,"","",1873,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/02 Schiermonnikoog-2.jpg
8,[1889],1,03 - UITHUIZEN 1,3,Top. Inrichting,1888,"",1889,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/03 Uithuizen-1.jpg
9,[1888],1,03 - UITHUIZEN 2,3,Top. inrichting,1887,"",1888,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/03 Uithuizen-2.jpg
10,[1888],1,03 - UITHUIZEN 3,3,Top. Inrichting,1887,"",1888,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/03 Uithuizen-3.jpg
11,[1868],1,04 - VLIELAND 1,4,Min. v. Oorl. Top. Bur.,"","",1868,"","","","","",Schaal van 10000 Ellen,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/04 Vlieland-1.jpg
12,[1868],1,04 - VLIELAND 2,4,Min. v. Oorl. Top. Bur.,"","",1868,"","","","","",Schaal van 10000 Ellen,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/04 Vlieland-2.jpg
13,[1873],1,05 - HARLINGEN 1,5,Top. Bur.,"","",1873,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/05 Harlingen-1.jpg
14,[1873],1,05 - HARLINGEN 2,5,Top. Bur.,"","",1873,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/05 Harlingen-2.jpg
15,[1873],1,05 - HARLINGEN 3,5,Top. Bur.,"","",1873,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/05 Harlingen-3.jpg
16,[1874],1,06 - LEEUWARDEN 1,6,Top. Bur.,"","",1874,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/06 Leeuwarden-1.jpg
17,[1874],1,06 - LEEUWARDEN 2,6,Top. Bur.,"","",1874,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/06 Leeuwarden-2.jpg
18,[1874],1,06 - LEEUWARDEN 3,6,Top. Bur.,"","",1874,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/06 Leeuwarden-3.jpg
19,[1874],1,06 - LEEUWARDEN 4,6,Top. Bur.,"","",1874,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/06 Leeuwarden-4.jpg
20,[1888],1,07 - GRONINGEN 1,7,Top. Inrichting,1887,"",1888,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/07 Groningen-1.jpg
21,[1888],1,07 - GRONINGEN 2,7,Top. Inrichting,1886,"",1888,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/07 Groningen-2.jpg
22,[1887],1,07 - GRONINGEN 3,7,Top. Inrichting,1886,"",1887,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/07 Groningen-3.jpg
23,[1887],1,07 - GRONINGEN 4,7,Top. Inrichting,1886,"",1887,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/07 Groningen-4.jpg
24,[1888],1,08 - NIEUWESCHANS 1,8,Top. Inrichting,1886,"",1888,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/08 Nieuweschans-1.jpg
25,[1887],1,08 - NIEUWESCHANS 2,8,Top. Inrichting,1886,"",1887,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/08 Nieuweschans-2.jpg
26,[1867],1,09 - HELDER 1,9,Min. v. Oorl. Top.Bur.,"","",1867,"","","","","",Schaal van 10000 Ellen,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/09 Helder-1.jpg
27,[1867],1,09 - HELDER 2,9,Min. v. Oorl. Top.Bur.,"","",1867,"","","","","",Schaal van 10000 Ellen,"","",1,false,false,false,4,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/09 Helder-2.jpg
28,[1873],1,10 - SNEEK 1,10,Top. Bur.,"","",1873,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/10 Sneek-1.jpg
29,[1873],1,10 - SNEEK 2,10,Top. Bur.,"","",1873,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/10 Sneek-2.jpg
30,[1873],1,10 - SNEEK 3,10,Top. Bur.,"","",1873,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/10 Sneek-3.jpg
31,[1873],1,10 - SNEEK 4,10,Top. Bur.,"","",1873,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/10 Sneek-4.jpg
32,[1876],1,11 - HEERENVEEN 1,11,Top. Inrigting,"","",1876,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/11 Heerenveen-1.jpg
33,[1877],1,11 - HEERENVEEN 2,11,Top. Inrigting,1875,"",1877,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/11 Heerenveen-2.jpg
34,[1877],1,11 - HEERENVEEN 3,11,Top. Inrigting,1875,"",1877,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/11 Heerenveen-3.jpg
950,[1877],1,11 - HEERENVEEN 4,11,,,,1877,,,,,,,,,1,false,false,false,2,https://objects.library.uu.nl/reader/index.php?obj=1874-389916&lan=nl#page//10/98/53/10985320817773156817511228431202452708.jpg/mode/1up
35,[1887],1,12 - ASSEN 1,12,Top. Inrichting,1885,"",1887,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,4,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/12 Assen-1.jpg
36,[1887],1,12 - ASSEN 2,12,Top. Inrichting,1885,"",1887,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/12 Assen-2.jpg
37,[1886],1,12 - ASSEN 3,12,Top. Inrichting,1885,"",1886,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/12 Assen-3.jpg
38,[1886],1,12 - ASSEN 4,12,Top. Inrichting,1885,"",1886,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/12 Assen-4.jpg
39,[1887],1,13 - BOURTANGE 1,13,Top. Inrichting,1886,"",1887,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/13 Bourtange-1.jpg
40,[1887],1,13 - BOURTANGE 2,13,Top. Inrichting,1886,"",1887,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/13 Bourtange-2.jpg
41,[1867],1,14 - MEDEMBLIK 1,14,Min. v. Oorl. Top. Bur.,"","",1867,"","","","","",Schaal van 10000 Ellen,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/14 Medemblik-1.jpg
42,[1867],1,14 - MEDEMBLIK 2,14,Min. v. Oorl. Top. Bur.,"","",1867,"","","","","",Schaal van 10000 Ellen,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/14 Medemblik-2.jpg
43,[1867],1,14 - MEDEMBLIK 3,14,Min. v. Oorl. Top. Bur.,"","",1867,"","","","","",Schaal van 10000 Ellen,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/14 Medemblik-3.jpg
44,[1867],1,14 - MEDEMBLIK 4,14,Min. v. Oorl. Top. Bur.,"","",1867,"","","","","",Schaal van 10000 Ellen,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/14 Medemblik-4.jpg
45,[1873],1,15 - STAVOREN 1,15,Top. Bur.,"","",1873,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/15 Stavoren-1.jpg
46,[1873],1,15 - STAVOREN 2,15,Top. Bur.,"","",1873,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/15 Stavoren-2.jpg
47,[1867],1,15 - STAVOREN 3,15,Min. v. Oorl. Top. Bur.,"","",1867,"","","","","",Schaal van 10000 Ellen,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/15 Stavoren-3.jpg
48,[1877],1,16 - STEENWIJK 1,16,Top. Inrigting,1875,"",1877,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/16 Steenwijk-1.jpg
49,[1877],1,16 - STEENWIJK 2,16,Top. Inrigting,1875,"",1877,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/16 Steenwijk-2.jpg
50,[1883],1,16 - STEENWIJK 3,16,Top. Inrigting,1881,"",1883,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/16 Steenwijk-3.jpg
51,[1883],1,16 - STEENWIJK 4,16,Top. Inrigting,1881,"",1883,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/16 Steenwijk-4.jpg
52,[1886],1,17 - BEILEN 1,17,Top. Inrichting,1884,"",1886,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/17 Beilen-1.jpg
53,[1885],1,17 - BEILEN 2,17,Top. Inrichting,1884,"",1885,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/17 Beilen-2.jpg
54,[1886],1,17 - BEILEN 3,17,Top. Inrichting,1884,"",1886,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/17 Beilen-3.jpg
55,[1886],1,17 - BEILEN 4,17,Top. Inrichting,1884,"",1886,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/17 Beilen-4.jpg
56,[1887],1,18 - ROSWINKEL 1,18,Top. Inrichting,1886,"",1887,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/18 Roswinkel-1.jpg
57,[1885],1,18 - ROSWINKEL 2,18,Top. Inrichting,1884,"",1885,"","","","","",Schaal van 10000 Meters,"","",1,false,false,false,3,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/18 Roswinkel-2.jpg
952,[1866],1,19 - ALKMAAR 1,19,,,,1866,,,,,,,,,1,false,false,false,1,""
58,[1866],1,19 - ALKMAAR 2,19,Min. v. Oorl. Top. Bur.,"","",1866,"","","","","",Schaal van 10000 Ellen,"","",1,false,false,false,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/19 Alkmaar-2.jpg
59,[1866],1,19 - ALKMAAR 3,19,Min. v. Oorl. Top. Bur.,"","",1866,"","","","","",Schaal van 10000 Ellen,"","",1,false,false,false,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/19 Alkmaar-3.jpg
60,[1866],1,19 - ALKMAAR 4,19,Min. v. Oorl. Top. Bur.,"","",1866,"","","","","","Schaal van 10,000 Ellen","","",1,false,false,false,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/19 Alkmaar-4.jpg
61,[1867],1,20 - ENKHUIZEN 1,20,Min. v. Oorl. Top. Bur.,"","",1867,"","","","","",Schaal van 10000 Ellen,"","",1,false,false,false,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/20 Enkhuizen-1.jpg
