Type,Line,Space,ID,Origin,InitialOrigin,Reference1,Reference2,Reference3,Tags,Roles,MaxUnauthorised,NumberReference1,NumberReference2,NumberReference3
Image,0,32,176c8204-db35-4d88-a0f4-031f223f8484,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/01-Ameland.jpg,,waterstaatskaart,1,1,,,-1,0,,
Image,1,32,4c21f04d-5f12-46af-81f6-0430af9cd8c6,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/01-Terschelling.jpg,,waterstaatskaart,1,1,,,-1,1,,
Image,2,32,5686c530-34e8-4d3e-86f8-914f83f26f07,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/02-Schiermonnikoog-1.jpg,,waterstaatskaart,1,1,,,-1,2,,
Image,3,32,b88e1142-3a7a-4ab8-a499-327582696879,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/02-Schiermonnikoog-2.jpg,,waterstaatskaart,1,1,,,-1,3,,
Image,4,32,49e38991-6ec7-45a3-958f-4339ebc5c74f,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/03-Uithuizen-1.jpg,,waterstaatskaart,1,1,,,-1,4,,
Image,5,32,14cc9f96-b3de-4aeb-af40-a520440effff,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/03-Uithuizen-2.jpg,,waterstaatskaart,1,1,,,-1,5,,
Image,6,32,12b178a4-9af5-4603-b75b-ff7d568465ad,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/03-Uithuizen-3.jpg,,waterstaatskaart,1,1,,,-1,6,,
Image,7,32,b6d94139-7518-46c9-b819-9623b016b6cb,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/04-Vlieland-1.jpg,,waterstaatskaart,1,1,,,-1,7,,
Image,8,32,8a44d85e-76e3-466f-ba45-c4cdd5cf6215,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/04-Vlieland-2.jpg,,waterstaatskaart,1,1,,,-1,8,,
Image,9,32,7a66ee5b-e88f-48bf-90e8-59d2436a1d31,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/05-Harlingen-1.jpg,,waterstaatskaart,1,1,,,-1,9,,
Image,10,32,3f8619cb-b305-4a77-9cb5-2cdebf55c4ff,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/05-Harlingen-2.jpg,,waterstaatskaart,1,1,,,-1,10,,
Image,11,32,2d34d461-3319-42e2-8a51-9fb46906ba18,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/05-Harlingen-3.jpg,,waterstaatskaart,1,1,,,-1,11,,
Image,12,32,393464e2-8d28-4630-bc65-83ced4209eeb,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/06-Leeuwarden-1.jpg,,waterstaatskaart,1,1,,,-1,12,,
Image,13,32,997c00bd-a1ab-456b-8d8e-a5f7a89c2384,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/06-Leeuwarden-2.jpg,,waterstaatskaart,1,1,,,-1,13,,
Image,14,32,45b592a6-c18a-4815-bd50-9ad4d738c31a,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/06-Leeuwarden-3.jpg,,waterstaatskaart,1,1,,,-1,14,,
Image,15,32,e30f9472-fd06-4bd6-ac6d-aaa12e267542,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/06-Leeuwarden-4.jpg,,waterstaatskaart,1,1,,,-1,15,,
Image,16,32,fa5c0b9f-8944-4580-abe5-67e775ac01e0,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/07-Groningen-1.jpg,,waterstaatskaart,1,1,,,-1,16,,
Image,17,32,d01dcb38-ed68-4628-bc00-aaa2210a89e4,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/07-Groningen-2.jpg,,waterstaatskaart,1,1,,,-1,17,,
Image,18,32,9f578af2-431a-4042-9da8-8d752c9bb5c9,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/07-Groningen-3.jpg,,waterstaatskaart,1,1,,,-1,18,,
Image,19,32,43d0103d-b82f-45a5-b02f-fbe9e5ce51fa,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/07-Groningen-4.jpg,,waterstaatskaart,1,1,,,-1,19,,
Image,20,32,11cf7263-c3bf-4d65-bb67-55346ead2328,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/08-Nieuweschans-1.jpg,,waterstaatskaart,1,1,,,-1,20,,
Image,21,32,0e958598-b65e-43b0-ba6b-9e50da68934c,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/08-Nieuweschans-2.jpg,,waterstaatskaart,1,1,,,-1,21,,
Image,22,32,a3eac77d-61cf-4f2c-bfd9-b4667ac02bb7,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/09-Helder-1.jpg,,waterstaatskaart,1,1,,,-1,22,,
Image,23,32,bcc82e21-e28b-4a04-bceb-f9b579f7f447,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/09-Helder-2.jpg,,waterstaatskaart,1,1,,,-1,23,,
Image,24,32,79e7473d-52e4-4609-800d-7ebc99199384,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/10-Sneek-1.jpg,,waterstaatskaart,1,1,,,-1,24,,
