path,collection,edition,series,filename
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/edit-1bis/14-Medemblik-1-1903.jpg,waterstaatskaarten,1e,edit-1bis,14-Medemblik-1-1903
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/edit-1bis/14-Medemblik-2.jpg,waterstaatskaarten,1e,edit-1bis,14-Medemblik-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/edit-1bis/14-Medemblik-3.jpg,waterstaatskaarten,1e,edit-1bis,14-Medemblik-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/edit-1bis/14-Medemblik-4.jpg,waterstaatskaarten,1e,edit-1bis,14-Medemblik-4
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/edit-1bis/15-Stavoren-3.jpg,waterstaatskaarten,1e,edit-1bis,15-Stavoren-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/edit-1bis/19-Alkmaar-1.jpg,waterstaatskaarten,1e,edit-1bis,19-Alkmaar-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/edit-1bis/19-Alkmaar-2.jpg,waterstaatskaarten,1e,edit-1bis,19-Alkmaar-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/edit-1bis/19-Alkmaar-3.jpg,waterstaatskaarten,1e,edit-1bis,19-Alkmaar-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/edit-1bis/19-Alkmaar-4.jpg,waterstaatskaarten,1e,edit-1bis,19-Alkmaar-4
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/edit-1bis/20-Enkhuizen-1.jpg,waterstaatskaarten,1e,edit-1bis,20-Enkhuizen-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/edit-1bis/28-Almelo-4.jpg,waterstaatskaarten,1e,edit-1bis,28-Almelo-4
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/edit-1bis/30-s-Gravenhage-2.jpg,waterstaatskaarten,1e,edit-1bis,30-s-Gravenhage-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/edit-1bis/31-Utrecht-1.jpg,waterstaatskaarten,1e,edit-1bis,31-Utrecht-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/edit-1bis/31-Utrecht-2.jpg,waterstaatskaarten,1e,edit-1bis,31-Utrecht-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/edit-1bis/31-Utrecht-3.jpg,waterstaatskaarten,1e,edit-1bis,31-Utrecht-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/edit-1bis/31-Utrecht-4.jpg,waterstaatskaarten,1e,edit-1bis,31-Utrecht-4
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/edit-1bis/38-Gorinchem-2.jpg,waterstaatskaarten,1e,edit-1bis,38-Gorinchem-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/edit-1bis/38-Gorinchem-4.jpg,waterstaatskaarten,1e,edit-1bis,38-Gorinchem-4
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/edit-1bis/39-Rhenen-1.jpg,waterstaatskaarten,1e,edit-1bis,39-Rhenen-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/edit-1bis/39-Rhenen-3.jpg,waterstaatskaarten,1e,edit-1bis,39-Rhenen-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/01-Ameland.jpg,waterstaatskaarten,1e,eerste-editie,01-Ameland
